"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
"
"NIFTY 500","23,540.15","23,628.30","23,386.80","23,516.25","23,408.80","-","-107.45","-0.46","1,99,22,42,244","65,702.87","24,035.00","19,519.85","-0.02"
"BALRAMCHIN","416.35","451.80","416.35","416.35","446.00","-","29.65","7.12","43,03,298","190.75","627.80","407.80","-3.75"
"WELSPUNLIV","131.85","142.78","131.84","131.84","138.85","-","7.01","5.32","2,86,31,513","402.04","180.70","104.80","1.82"
"HINDZINC","503.50","516.60","501.30","491.45","512.10","-","20.65","4.20","2,10,66,307","1,077.48","546.80","378.15","3.57"
"CENTURYPLY","795.00","835.00","786.30","797.85","831.00","-","33.15","4.15","2,21,865","18.31","897.10","650.00","6.61"
"NAVINFLUOR","5,730.00","6,039.00","5,665.50","5,707.00","5,924.00","-","217.00","3.80","5,30,112","314.70","6,168.50","3,180.00","-4.39"
"GODREJAGRO","595.70","614.90","584.15","595.70","614.90","-","19.20","3.22","3,34,841","19.86","876.35","560.05","1.04"
"BIKAJI","703.95","731.15","703.90","705.00","727.50","-","22.50","3.19","3,93,125","28.52","864.00","558.80","-1.74"
"ICICIPRULI","620.00","646.00","619.00","623.60","643.45","-","19.85","3.18","20,73,629","132.48","700.00","525.80","1.34"
"LLOYDSME","1,240.80","1,288.70","1,230.00","1,240.00","1,277.90","-","37.90","3.06","4,51,421","57.25","1,612.00","942.15","-5.75"
"EIDPARRY","1,011.10","1,054.00","1,011.10","1,009.50","1,037.00","-","27.50","2.72","2,56,966","26.70","1,246.80","639.00","-1.47"
"DBREALTY","118.00","127.45","117.84","117.32","120.48","-","3.16","2.69","99,86,314","123.77","252.67","112.70","-19.50"
"HOMEFIRST","1,179.80","1,197.90","1,162.40","1,161.50","1,190.00","-","28.50","2.45","2,69,518","31.95","1,519.00","878.40","2.61"
"CHENNPETRO","920.00","950.00","918.00","919.10","941.00","-","21.90","2.38","16,07,786","151.69","1,103.00","433.10","-9.56"
"BRIGADE","860.50","885.75","856.65","855.95","875.00","-","19.05","2.23","3,21,748","28.22","1,338.70","838.50","-12.66"
"CHAMBLFERT","418.00","439.50","417.60","419.85","429.00","-","9.15","2.18","19,36,269","83.47","742.20","410.20","-12.50"
"AUBANK","981.00","1,007.25","981.00","972.05","992.90","-","20.85","2.14","70,19,496","700.43","1,007.25","478.35","6.97"
"VTL","437.00","448.85","436.95","438.10","447.05","-","8.95","2.04","1,30,995","5.82","563.95","361.10","-0.05"
"SARDAEN","480.90","499.40","479.90","480.90","490.50","-","9.60","2.00","3,40,572","16.66","639.75","396.60","-10.09"
"CERA","5,307.00","5,392.50","5,284.50","5,265.00","5,370.00","-","105.00","1.99","19,119","10.25","8,014.95","5,060.05","-12.21"
"HDFCAMC","2,559.00","2,625.80","2,559.00","2,558.90","2,608.10","-","49.20","1.92","7,51,242","195.96","2,967.25","1,781.53","-52.90"
"GPIL","231.05","236.70","228.60","230.59","234.86","-","4.27","1.85","10,49,486","24.47","290.00","145.75","-16.04"
"RRKABEL","1,389.90","1,430.00","1,381.80","1,384.90","1,409.00","-","24.10","1.74","3,32,819","47.21","1,523.80","853.55","0.58"
"BERGEPAINT","541.00","553.60","538.40","539.95","549.35","-","9.40","1.74","2,99,558","16.37","605.00","437.75","1.68"
"HEG","535.50","548.10","535.50","536.75","546.05","-","9.30","1.73","9,86,770","53.78","619.00","331.25","-2.32"
"JSL","772.55","790.55","770.95","773.95","787.00","-","13.05","1.69","5,32,974","41.83","826.00","496.60","5.77"
"RAMCOCEM","1,006.00","1,033.00","1,005.90","999.50","1,016.10","-","16.60","1.66","4,94,997","50.67","1,209.00","788.20","-3.29"
"GODIGIT","340.05","346.00","336.85","340.40","346.00","-","5.60","1.65","1,12,423","3.85","381.40","264.60","-5.54"
"MAHSEAMLES","554.15","566.00","552.10","552.05","560.85","-","8.80","1.59","91,770","5.16","814.30","540.50","0.64"
"VEDL","519.25","530.75","516.15","516.15","524.25","-","8.10","1.57","1,47,07,829","771.32","543.00","363.00","0.21"
"ZENTEC","1,350.00","1,374.20","1,329.50","1,345.10","1,366.00","-","20.90","1.55","2,68,276","36.40","2,627.00","945.35","-1.01"
"EICHERMOT","7,129.50","7,294.00","7,129.50","7,123.00","7,233.00","-","110.00","1.54","6,26,496","453.30","7,294.00","4,646.00","3.44"
"GODREJIND","1,024.90","1,070.00","1,018.30","1,018.30","1,034.00","-","15.70","1.54","3,03,716","31.72","1,390.00","766.00","-5.28"
"AJANTPHARM","2,635.80","2,661.50","2,621.10","2,621.10","2,661.40","-","40.30","1.54","48,808","12.91","3,115.90","2,327.30","3.84"
"FINCABLES","731.50","748.80","727.00","726.45","737.40","-","10.95","1.51","3,79,229","27.99","1,330.75","707.30","-5.23"
"SOBHA","1,432.60","1,467.90","1,432.60","1,426.50","1,448.00","-","21.50","1.51","1,22,500","17.78","1,732.50","1,075.30","-16.15"
"MMTC","53.67","58.18","53.06","53.67","54.44","-","0.77","1.43","2,24,01,190","126.19","88.19","44.50","-17.84"
"MAHSCOOTER","14,034.00","14,437.00","14,033.00","13,954.00","14,151.00","-","197.00","1.41","6,085","8.66","18,538.00","8,822.00","-3.70"
"HYUNDAI","2,275.00","2,337.00","2,266.90","2,282.00","2,313.00","-","31.00","1.36","6,90,471","158.91","2,890.00","1,541.70","-1.90"
"INDIACEM","408.20","417.00","408.00","408.00","413.55","-","5.55","1.36","2,93,417","12.10","430.45","238.85","7.81"
"WHIRLPOOL","917.70","926.40","910.20","911.20","923.10","-","11.90","1.31","4,45,193","40.99","1,981.10","887.70","-32.00"
